kode_univ,kode_prodi,nama_prodi,jenjang,daya_tampung_2023,peminat_2018,peminat_2019,peminat_2020,peminat_2021,peminat_2022,daya_tampung_2018,daya_tampung_2019,daya_tampung_2020,daya_tampung_2021,daya_tampung_2022
111,111001,PENDIDIKAN DOKTER HEWAN,Sarjana,50,633,338,413,391,389,66,66,55,55,55
111,111002,TEKNIK SIPIL,Sarjana,54,1097,554,571,498,435,45,48,45,45,45
111,111003,TEKNIK MESIN,Sarjana,30,336,199,162,229,172,30,36,35,35,35
111,111004,TEKNIK KIMIA,Sarjana,35,415,201,218,180,174,30,36,35,35,35
111,111005,ARSITEKTUR,Sarjana,38,559,314,314,326,303,30,36,35,35,35
111,111006,TEKNIK ELEKTRO,Sarjana,30,466,275,231,205,189,36,36,35,35,35
111,111007,AGROTEKNOLOGI,Sarjana,30,520,257,239,201,225,36,36,30,30,30
111,111008,AGRIBISNIS,Sarjana,28,1136,486,467,441,380,30,36,30,30,28
111,111009,PETERNAKAN,Sarjana,29,243,102,142,116,116,30,36,35,35,30
111,111010,TEKNOLOGI HASIL PERTANIAN,Sarjana,25,362,197,153,142,131,30,36,30,30,20
111,111011,TEKNIK PERTANIAN,Sarjana,35,509,239,193,200,212,30,30,30,30,35
111,111012,PENDIDIKAN BIOLOGI,Sarjana,33,578,330,336,327,274,30,36,30,30,30
111,111013,PENDIDIKAN MATEMATIKA,Sarjana,33,502,341,298,293,246,30,36,30,30,30
111,111014,PENDIDIKAN FISIKA,Sarjana,28,247,146,135,97,91,23,27,25,25,25
111,111015,PENDIDIKAN KIMIA,Sarjana,28,265,194,171,116,106,23,30,25,25,25
111,111016,PENDIDIKAN DOKTER,Sarjana,63,1474,910,881,1030,1219,45,45,45,45,63
111,111017,ILMU KEPERAWATAN,Sarjana,50,1106,696,626,882,969,45,45,40,40,40
111,111018,PENDIDIKAN DOKTER GIGI,Sarjana,25,847,454,492,528,532,18,18,20,20,20
111,111019,MATEMATIKA,Sarjana,23,212,108,141,145,117,18,27,25,25,23
111,111020,FISIKA,Sarjana,23,92,58,57,49,33,18,27,25,25,23
111,111021,KIMIA,Sarjana,23,135,95,92,94,77,18,27,25,25,23
111,111022,BIOLOGI,Sarjana,23,267,131,153,180,151,18,27,25,25,23
111,111023,ILMU KELAUTAN,Sarjana,45,226,144,179,111,121,45,54,45,45,45
111,111024,BUDIDAYA PERAIRAN,Sarjana,45,183,104,111,93,68,45,54,45,45,45
111,111025,TEKNIK INDUSTRI,Sarjana,23,363,252,245,187,252,30,36,30,30,30
111,111026,INFORMATIKA,Sarjana,23,1357,760,730,759,831,24,27,25,25,23
111,111027,FARMASI,Sarjana,15,1522,998,929,1177,1066,14,18,15,15,15
111,111028,TEKNIK GEOFISIKA,Sarjana,23,160,139,105,81,96,24,24,20,20,23
111,111029,TEKNIK PERTAMBANGAN,Sarjana,23,355,183,198,220,253,18,18,20,20,20
