kode_univ,nama_univ,portal_univ
111,UNIVERSITAS SYIAH KUALA,https://pmb.usk.ac.id/
112,UNIVERSITAS MALIKUSSALEH,http://pmb.unimal.ac.id/
113,UNIVERSITAS TEUKU UMAR,https://pmb.utu.ac.id/
114,UNIVERSITAS SAMUDRA,https://pmb.unsam.ac.id/
115,ISBI ACEH,http://pmb.isbiaceh.ac.id/
116,UNIVERSITAS ISLAM NEGERI AR-RANIRY,https://pendaftaran.ar-raniry.ac.id/
121,UNIVERSITAS SUMATERA UTARA,https://www.usu.ac.id/id/penerimaan
122,UNIVERSITAS NEGERI MEDAN,https://bak.unimed.ac.id/registrasi
123,UNIVERSITAS ISLAM NEGERI SUMATERA UTARA,https://maba.uinsu.ac.id/
131,UNIVERSITAS RIAU,http://pendaftaranulang.unri.ac.id/
132,UNIVERSITAS ISLAM NEGERI SULTAN SYARIF KASIM,https://sireg.uin-suska.ac.id/
133,UNIVERSITAS MARITIM RAJA ALI HAJI,https://penerimaan.umrah.ac.id/
141,UNIVERSITAS ANDALAS,https://pmb.unand.ac.id/
142,UNIVERSITAS NEGERI PADANG,https://sbmptn.unp.ac.id
143,ISI PADANG PANJANG,https://www.isi-padangpanjang.ac.id/utbk-sbmptn/
151,UNIVERSITAS JAMBI,https://regis.unja.ac.id/
161,UNIVERSITAS BENGKULU,https://regmaba.unib.ac.id
171,UNIVERSITAS SRIWIJAYA,https://reg.unsri.ac.id/
172,UNIVERSITAS ISLAM NEGERI RADEN FATAH,https://registrasi.radenfatah.ac.id
181,UNIVERSITAS BANGKA BELITUNG,https://ubb.siakadcloud.com/spmbfront/login
191,UNIVERSITAS LAMPUNG,http://simanila.unila.ac.id/
192,INSTITUT TEKNOLOGI SUMATERA,https://pmb.itera.ac.id/
311,UNIVERSITAS SULTAN AGENG TIRTAYASA,https://pmb.untirta.ac.id/
321,UNIVERSITAS INDONESIA,https://penerimaan.ui.ac.id/
322,UNIVERSITAS ISLAM NEGERI JAKARTA,https://spmb.uinjkt.ac.id/
323,UNIVERSITAS NEGERI JAKARTA,http://penmaba.unj.ac.id/
324,"UPN ""VETERAN"" JAKARTA",https://penmaru.upnvj.ac.id/
331,UNIVERSITAS SINGAPERBANGSA KARAWANG,https://pmb.unsika.ac.id/
332,INSTITUT TEKNOLOGI BANDUNG,https://admission.itb.ac.id
333,UNIVERSITAS PADJADJARAN,https://smup.unpad.ac.id/
